date,temperature_2m,relative_humidity_2m,cloud_cover,wind_speed_10m,precipitation_probability,rain
2025-03-28 03:00,21.872002,91.0,100.0,3.6179552,0.0,0.0
2025-03-28 04:00,21.622002,92.0,100.0,3.319036,0.0,0.0
2025-03-28 05:00,21.472,94.0,100.0,2.6208394,0.0,0.0
2025-03-28 06:00,21.272001,93.0,100.0,2.968636,0.0,0.0
2025-03-28 07:00,21.022001,95.0,96.0,2.6208394,0.0,0.0
2025-03-28 08:00,20.872002,95.0,82.0,1.9386592,0.0,0.0
2025-03-28 09:00,20.922,95.0,52.0,1.2979984,0.0,0.0
2025-03-28 10:00,21.022001,95.0,52.0,1.1384199,0.0,0.0
2025-03-28 11:00,22.472,89.0,80.0,0.35999998,0.0,0.0
2025-03-28 12:00,23.422,83.0,71.0,1.4399999,0.0,0.0
2025-03-28 13:00,24.822,75.0,77.0,0.8049845,0.0,0.0
2025-03-28 14:00,25.972,69.0,83.0,2.3051248,0.0,0.0
2025-03-28 15:00,27.172,64.0,88.0,2.0364676,3.0,0.0
2025-03-28 16:00,28.272001,59.0,77.0,2.7416782,8.0,0.0
2025-03-28 17:00,28.972,56.0,96.0,3.6,18.0,0.0
2025-03-28 18:00,29.172,55.0,100.0,2.3051248,13.0,0.0
2025-03-28 19:00,28.822,57.0,100.0,4.896529,28.0,0.0
2025-03-28 20:00,27.672,64.0,100.0,5.4833565,20.0,0.0
2025-03-28 21:00,26.322,70.0,100.0,4.8433046,10.0,0.0
2025-03-28 22:00,24.772001,75.0,100.0,4.8965297,3.0,0.0
2025-03-28 23:00,23.922,81.0,100.0,4.5536795,3.0,0.0
2025-03-29 00:00,23.222,88.0,100.0,4.3498964,0.0,0.0
2025-03-29 01:00,23.072,90.0,100.0,4.198285,0.0,0.0
2025-03-29 02:00,22.772001,92.0,100.0,4.2136917,0.0,0.0
2025-03-29 03:00,22.722,92.0,100.0,2.8799999,0.0,0.0
2025-03-29 04:00,22.322,94.0,100.0,2.8799999,0.0,0.0
2025-03-29 05:00,21.872002,96.0,100.0,3.096837,0.0,0.0
2025-03-29 06:00,21.622002,96.0,100.0,1.9386592,0.0,0.0
2025-03-29 07:00,21.522001,97.0,77.0,2.6208394,0.0,0.0
2025-03-29 08:00,21.372002,98.0,82.0,2.2768397,0.0,0.0
2025-03-29 09:00,21.322,98.0,71.0,1.609969,0.0,0.0
2025-03-29 10:00,21.222,98.0,92.0,2.9024127,0.0,0.0
2025-03-29 11:00,22.872002,92.0,81.0,2.2768397,0.0,0.0
2025-03-29 12:00,24.472,83.0,81.0,0.35999998,0.0,0.0
2025-03-29 13:00,26.022001,76.0,76.0,1.5273507,0.0,0.0
2025-03-29 14:00,27.172,71.0,94.0,1.9386592,0.0,0.0
2025-03-29 15:00,28.322,65.0,95.0,1.9386592,13.0,0.0
2025-03-29 16:00,29.422,59.0,73.0,1.484318,35.0,0.0
2025-03-29 17:00,29.672,58.0,100.0,3.0758414,35.0,0.0
2025-03-29 18:00,29.022001,61.0,100.0,5.4119864,43.0,0.0
2025-03-29 19:00,27.922,68.0,100.0,4.379589,53.0,0.0
2025-03-29 20:00,27.172,70.0,100.0,6.924738,65.0,0.0
2025-03-29 21:00,25.422,77.0,100.0,7.7879906,60.0,0.0
2025-03-29 22:00,24.022001,83.0,100.0,5.154415,65.0,0.0
2025-03-29 23:00,23.572,87.0,100.0,3.8939953,68.0,0.0
2025-03-30 00:00,23.272001,89.0,100.0,4.198285,50.0,0.0
2025-03-30 01:00,22.972,91.0,100.0,2.5959969,40.0,0.0
2025-03-30 02:00,22.672,92.0,100.0,2.5959969,35.0,0.0
2025-03-30 03:00,22.122002,94.0,100.0,3.096837,18.0,0.0
2025-03-30 04:00,21.972,94.0,100.0,2.6208394,13.0,0.0
2025-03-30 05:00,21.722,95.0,100.0,2.5959969,5.0,0.0
2025-03-30 06:00,21.622002,96.0,100.0,2.4149535,8.0,0.0
2025-03-30 07:00,21.572,96.0,86.0,2.8116899,3.0,0.0
2025-03-30 08:00,21.472,96.0,88.0,3.0547013,3.0,0.0
2025-03-30 09:00,21.072,97.0,99.0,2.5455842,3.0,0.0
2025-03-30 10:00,20.872002,97.0,99.0,1.9386592,0.0,0.0
2025-03-30 11:00,22.422,91.0,53.0,2.2768397,0.0,0.0
2025-03-30 12:00,23.872002,80.0,87.0,2.3051248,0.0,0.0
2025-03-30 13:00,25.222,74.0,76.0,2.5455842,1.0,0.0
2025-03-30 14:00,26.622002,68.0,90.0,3.319036,3.0,0.0
2025-03-30 15:00,27.772001,63.0,94.0,3.8268526,5.0,0.0
2025-03-30 16:00,29.022001,59.0,99.0,3.563818,8.0,0.0
2025-03-30 17:00,29.372002,57.0,73.0,3.319036,12.0,0.0
2025-03-30 18:00,29.672,56.0,48.0,5.315336,13.0,0.0
2025-03-30 19:00,29.472,57.0,25.0,8.225035,11.0,0.0
2025-03-30 20:00,28.622002,60.0,11.0,9.511088,6.0,0.0
2025-03-30 21:00,27.072,65.0,27.0,7.7043357,3.0,0.0
2025-03-30 22:00,25.272001,77.0,42.0,9.826088,1.0,0.0
2025-03-30 23:00,24.322,81.0,45.0,8.373386,1.0,0.0
2025-03-31 00:00,23.672,81.0,59.0,7.42159,0.0,0.0
2025-03-31 01:00,23.022001,82.0,77.0,6.379216,0.0,0.0
2025-03-31 02:00,22.422,84.0,88.0,5.8603754,0.0,0.0
2025-03-31 03:00,22.272001,86.0,86.0,4.73506,0.0,0.0
2025-03-31 04:00,21.972,89.0,92.0,4.3349743,0.0,0.0
2025-03-31 05:00,21.672,90.0,89.0,4.0249224,0.0,0.0
2025-03-31 06:00,21.572,89.0,81.0,3.671294,0.0,0.0
2025-03-31 07:00,21.422,90.0,82.0,3.4152596,0.0,0.0
2025-03-31 08:00,21.322,91.0,81.0,3.0758414,0.0,0.0
2025-03-31 09:00,21.222,92.0,85.0,2.968636,0.0,0.0
2025-03-31 10:00,21.322,93.0,81.0,2.7416782,0.0,0.0
2025-03-31 11:00,22.722,88.0,80.0,3.2599385,0.0,0.0
2025-03-31 12:00,24.122002,82.0,84.0,2.5959969,0.0,0.0
2025-03-31 13:00,25.522001,77.0,84.0,1.8,1.0,0.0
2025-03-31 14:00,26.772001,73.0,68.0,3.0758414,3.0,0.0
2025-03-31 15:00,28.322,67.0,28.0,4.452954,6.0,0.0
2025-03-31 16:00,29.922,60.0,49.0,5.2416787,8.0,0.0
2025-03-31 17:00,30.922,55.0,48.0,7.5170207,11.0,0.0
2025-03-31 18:00,31.472,52.0,61.0,6.9899354,13.0,0.0
2025-03-31 19:00,30.572,55.0,74.0,6.489992,16.0,0.0
2025-03-31 20:00,28.872002,62.0,87.0,5.8048253,19.0,0.0
2025-03-31 21:00,27.222,69.0,100.0,4.8965297,22.0,0.0
2025-03-31 22:00,25.922,75.0,99.0,3.6,25.0,0.0
2025-03-31 23:00,24.722,80.0,97.0,2.0991426,27.0,0.0
2025-04-01 00:00,23.722,85.0,96.0,0.71999997,28.0,0.0
2025-04-01 01:00,23.022001,88.0,97.0,1.1384199,27.0,0.0
2025-04-01 02:00,22.522001,90.0,99.0,1.8,25.0,0.0
2025-04-01 03:00,22.072,92.0,100.0,2.52,22.0,0.0
2025-04-01 04:00,21.672,94.0,99.0,2.6208394,19.0,0.0
2025-04-01 05:00,21.272001,95.0,98.0,2.9024127,17.0,0.0
2025-04-01 06:00,20.922,96.0,97.0,3.0547013,15.0,0.0
2025-04-01 07:00,20.372002,97.0,87.0,3.0547013,14.0,0.0
2025-04-01 08:00,19.872002,98.0,78.0,2.5455842,12.0,0.0
2025-04-01 09:00,19.872002,98.0,68.0,2.3051248,11.0,0.0
2025-04-01 10:00,20.772001,96.0,75.0,1.8,11.0,0.0
2025-04-01 11:00,22.172,92.0,81.0,1.484318,13.0,0.0
2025-04-01 12:00,23.472,89.0,88.0,0.8049845,18.0,0.0
2025-04-01 13:00,24.472,86.0,91.0,1.1384199,27.0,0.0
2025-04-01 14:00,25.322,84.0,94.0,3.0547013,40.0,0.0
2025-04-01 15:00,25.872002,82.0,97.0,4.072935,55.0,0.0
2025-04-01 16:00,25.972,82.0,98.0,4.6938257,69.0,0.0
2025-04-01 17:00,25.722,84.0,99.0,4.896529,82.0,0.0
2025-04-01 18:00,25.322,85.0,100.0,5.4477882,90.0,0.0
2025-04-01 19:00,24.772001,86.0,100.0,5.4119864,94.0,0.0
2025-04-01 20:00,24.122002,87.0,100.0,4.6938252,95.0,0.0
2025-04-01 21:00,23.472,88.0,100.0,4.3349743,94.0,0.0
2025-04-01 22:00,22.872002,88.0,100.0,3.96,91.0,0.0
2025-04-01 23:00,22.272001,88.0,100.0,3.9763298,88.0,0.0
2025-04-02 00:00,21.822,88.0,100.0,3.671294,83.0,0.0
2025-04-02 01:00,21.622002,89.0,92.0,3.2599385,77.0,0.0
2025-04-02 02:00,21.522001,89.0,85.0,2.52,69.0,0.0
2025-04-02 03:00,21.372002,90.0,77.0,2.16,59.0,0.0
2025-04-02 04:00,21.122002,90.0,72.0,1.835647,50.0,0.0
2025-04-02 05:00,20.872002,91.0,68.0,1.5273507,41.0,0.0
2025-04-02 06:00,20.522001,91.0,63.0,1.9386592,33.0,0.0
2025-04-02 07:00,19.972,92.0,58.0,2.1897945,38.0,0.0
2025-04-02 08:00,19.322,94.0,54.0,2.8799999,30.0,0.0
2025-04-02 09:00,19.172,94.0,49.0,2.9024127,21.0,0.0
2025-04-02 10:00,19.822,92.0,59.0,2.7416782,14.0,0.0
2025-04-02 11:00,21.022001,90.0,68.0,2.3051248,9.0,0.0
2025-04-02 12:00,22.172,86.0,78.0,2.0991426,5.0,0.0
2025-04-02 13:00,23.222,82.0,84.0,1.484318,3.0,0.0
2025-04-02 14:00,24.322,77.0,90.0,1.08,2.0,0.0
2025-04-02 15:00,25.322,72.0,96.0,0.5091169,2.0,0.0
2025-04-02 16:00,26.322,68.0,81.0,0.71999997,3.0,0.0
2025-04-02 17:00,27.222,64.0,67.0,1.9386592,5.0,0.0
2025-04-02 18:00,27.622002,63.0,52.0,2.6208394,7.0,0.0
2025-04-02 19:00,27.272001,65.0,68.0,2.9024127,9.0,0.0
2025-04-02 20:00,26.372002,70.0,84.0,3.219938,11.0,0.0
2025-04-02 21:00,25.472,75.0,100.0,3.8268526,14.0,0.0
2025-04-02 22:00,24.572,79.0,100.0,4.1046314,16.0,0.0
2025-04-02 23:00,23.572,83.0,100.0,4.0249224,17.0,0.0
2025-04-03 00:00,22.822,87.0,100.0,3.8773184,18.0,0.0
2025-04-03 01:00,22.472,90.0,100.0,3.4152596,18.0,0.0
2025-04-03 02:00,22.322,91.0,100.0,3.0758414,18.0,0.0
2025-04-03 03:00,22.172,93.0,100.0,2.6208394,17.0,0.0
2025-04-03 04:00,21.922,95.0,100.0,2.5455842,16.0,0.0
2025-04-03 05:00,21.622002,96.0,100.0,2.16,16.0,0.0
2025-04-03 06:00,21.322,97.0,100.0,1.9386592,15.0,0.0
2025-04-03 07:00,20.822,99.0,90.0,1.9386592,14.0,0.0
2025-04-03 08:00,20.372002,100.0,81.0,2.5455842,13.0,0.0
2025-04-03 09:00,20.422,100.0,71.0,3.5455887,13.0,0.0
2025-04-03 10:00,21.372002,96.0,69.0,3.8268526,13.0,0.0
2025-04-03 11:00,22.922,90.0,68.0,3.8939953,14.0,0.0
2025-04-03 12:00,24.422,84.0,66.0,4.6800003,15.0,0.0
2025-04-03 13:00,25.972,76.0,67.0,6.28713,17.0,0.0
2025-04-03 14:00,27.472,68.0,69.0,8.049845,20.0,0.0
2025-04-03 15:00,28.372002,64.0,70.0,9.531505,24.0,0.0
2025-04-03 16:00,28.222,66.0,80.0,9.793058,28.0,0.0
2025-04-03 17:00,27.472,71.0,90.0,9.83268,32.0,0.0
2025-04-03 18:00,26.722,76.0,100.0,9.19939,37.0,0.0
2025-04-03 19:00,26.322,78.0,100.0,7.289445,41.0,0.0
2025-04-03 20:00,25.922,79.0,100.0,5.00128,46.0,0.0
2025-04-03 21:00,25.422,80.0,100.0,3.219938,50.0,0.0
2025-04-03 22:00,24.622002,82.0,77.0,2.968636,53.0,0.0
2025-04-03 23:00,23.672,85.0,53.0,3.2599385,56.0,0.0
2025-04-04 00:00,22.822,87.0,30.0,3.6,58.0,0.0
2025-04-04 01:00,22.122002,89.0,31.0,2.9024127,59.0,0.0
2025-04-04 02:00,21.522001,91.0,32.0,1.835647,59.0,0.0
